"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Metadata Attribute","Metadata Value","Frequency"
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of U.S. dollars, Percent","RAXGFXARUSDRT_PT","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARUSDRT, Unit: F",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of U.S. dollars, Percent","RAXGFXARUSDRT_PT","Indicator Code","RAXGFXARUSDRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of U.S. dollars, Percent","RAXGFXARUSDRT_PT","Indicator Concept","Shares of U.S. dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of U.S. dollars, Percent","RAXGFXARUSDRT_PT","Indicator CTS Code","RAXGFXARUSDRT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of U.S. dollars, Percent","RAXGFXARUSDRT_PT","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of U.S. dollars, Percent","RAXGFXARUSDRT_PT","Indicator Display Name","Shares of U.S. dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of U.S. dollars, Percent","RAXGFXARUSDRT_PT","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Shares of Allocated Reserves, Shares of U.S. dollars, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of U.S. dollars, Percent","RAXGFXARUSDRT_PT","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of U.S. dollars, Percent","RAXGFXARUSDRT_PT","Indicator Name","Shares of Allocated Reserves, Shares of U.S. dollars, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of U.S. dollars, Percent","RAXGFXARUSDRT_PT","Indicator SDMX Code","RAXGFXARUSDRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of U.S. dollars, Percent","RAXGFXARUSDRT_PT","Indicator SDMX Name","Shares of Allocated Reserves, Shares of U.S. dollars, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of U.S. dollars, Percent","RAXGFXARUSDRT_PT","Indicator Short Name","Shares of U.S. dollars, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of U.S. dollars, Percent","RAXGFXARUSDRT_PT","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Allocated Reserves, Shares of U.S. dollars, Percent","RAXGFXARUSDRT_PT","Indicator Unit","Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Unallocated Reserves, Percent","RAXGFXURRT_PT","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXURRT, Unit: F",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Unallocated Reserves, Percent","RAXGFXURRT_PT","Indicator Code","RAXGFXURRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Unallocated Reserves, Percent","RAXGFXURRT_PT","Indicator Concept","Shares of Unallocated Reserves",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Unallocated Reserves, Percent","RAXGFXURRT_PT","Indicator CTS Code","RAXGFXURRT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Unallocated Reserves, Percent","RAXGFXURRT_PT","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Unallocated Reserves, Percent","RAXGFXURRT_PT","Indicator Display Name","Shares of Unallocated Reserves",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Unallocated Reserves, Percent","RAXGFXURRT_PT","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Shares of Unallocated Reserves, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Unallocated Reserves, Percent","RAXGFXURRT_PT","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Unallocated Reserves, Percent","RAXGFXURRT_PT","Indicator Name","Shares of Unallocated Reserves, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Unallocated Reserves, Percent","RAXGFXURRT_PT","Indicator SDMX Code","RAXGFXURRT_PT",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Unallocated Reserves, Percent","RAXGFXURRT_PT","Indicator SDMX Name","Shares of Unallocated Reserves, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Unallocated Reserves, Percent","RAXGFXURRT_PT","Indicator Short Name","Shares of Unallocated Reserves, Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Unallocated Reserves, Percent","RAXGFXURRT_PT","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Shares of Unallocated Reserves, Percent","RAXGFXURRT_PT","Indicator Unit","Percent",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Indicator Alternate Publication Codes","E-Library Concept: RAXGFX, Unit: L",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Indicator Code","RAXGFX_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Indicator Concept","Total Foreign Exchange Reserves",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Indicator CTS Code","RAXGFX",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Indicator Display Name","Total Foreign Exchange Reserves",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Indicator Key Indicator","Key Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Indicator Name","Total Foreign Exchange Reserves, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Indicator SDMX Code","RAXGFX_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Indicator SDMX Name","Foreign Exchange, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Indicator Short Name","Total Foreign Exchange Reserves, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Indicator Unit","US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXUR, Unit: L",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Indicator Code","RAXGFXUR_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Indicator Concept","Unallocated Reserves",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Indicator CTS Code","RAXGFXUR",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Indicator Display Name","Unallocated Reserves",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Unallocated Reserves, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Indicator Name","Unallocated Reserves, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Indicator SDMX Code","RAXGFXUR_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Indicator SDMX Name","Unallocated Reserves, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Indicator Short Name","Unallocated Reserves, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Unallocated Reserves, US Dollars","RAXGFXUR_USD","Indicator Unit","US Dollars",""
